2026-04-22 13:11:42 | PostgresLoader       | INFO     | PostgreSQL connection closed.
2026-04-22 13:11:42 | MainPipeline         | INFO     | 
--- Hoàn thành luồng ELT ---
2026-04-22 13:11:47 | MainPipeline         | INFO     | --- Bắt đầu chạy luồng ELT ở Local ---
2026-04-22 13:11:47 | MainPipeline         | INFO     | 1. Đang lấy dữ liệu Thời Tiết từ Open-Meteo API...
2026-04-22 13:11:48 | MainPipeline         | INFO     | -> Lấy dữ liệu Thời Tiết thành công!
2026-04-22 13:11:48 | MainPipeline         | INFO     | 2. Đang lấy dữ liệu Chất lượng không khí từ Open-Meteo API...
2026-04-22 13:11:50 | MainPipeline         | INFO     | -> Lấy dữ liệu Chất Lượng Không Khí thành công!
2026-04-22 13:11:50 | MainPipeline         | INFO     | 
3. Đang đẩy dữ liệu vào PostgreSQL...
2026-04-22 13:11:50 | PostgresLoader       | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-04-22 13:11:50 | PostgresLoader       | INFO     | Connection successful!
2026-04-22 13:11:50 | MainPipeline         | INFO     | -> Đang Load dữ liệu Thời Tiết...
2026-04-22 13:11:50 | PostgresLoader       | INFO     | Successfully inserted weather_forecast_hourly data into api_openmeteo_raw_data
2026-04-22 13:11:50 | MainPipeline         | INFO     | -> Đang Load dữ liệu Chất lượng không khí...
2026-04-22 13:11:50 | PostgresLoader       | INFO     | Successfully inserted air_quality_hourly data into api_openmeteo_raw_data
2026-04-22 13:11:50 | PostgresLoader       | INFO     | PostgreSQL connection closed.
2026-04-22 13:11:50 | MainPipeline         | INFO     | 
--- Hoàn thành luồng ELT ---
2026-05-29 21:37:01 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-29 21:37:01 | ConfigManager        | ERROR    | Failed to load configs: Expecting property name enclosed in double quotes: line 1 column 3 (char 2). Keeping old state if available.
2026-05-29 21:39:17 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-29 21:39:17 | AlertJob             | INFO     | Execution BKK Hour: 20
2026-05-29 21:39:17 | AlertJob             | INFO     | This is a historical backfill run (> 24 hours old). Skipping Telegram alerts to prevent SPAM.
2026-05-30 20:13:08 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 20:13:08 | AlertJob             | INFO     | Starting Weather Alert Job (Dual-Core Architecture)...
2026-05-30 20:13:08 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 20:13:08 | BasePostgresLoader   | INFO     | Connection successful!
2026-05-30 20:13:08 | AlertJob             | INFO     | Execution BKK Hour: 20
2026-05-30 20:13:08 | AlertJob             | INFO     | Running Holistic Briefing for NGÀY MAI...
2026-05-30 20:13:09 | TelegramAlerter      | INFO     | Telegram alert sent successfully.
2026-05-30 20:13:09 | BasePostgresLoader   | INFO     | PostgreSQL connection closed.
2026-05-30 20:13:09 | AlertJob             | INFO     | Alert Job finished.
2026-05-30 20:13:29 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 20:13:29 | AlertJob             | INFO     | Starting Weather Alert Job (Dual-Core Architecture)...
2026-05-30 20:13:29 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 20:13:29 | BasePostgresLoader   | INFO     | Connection successful!
2026-05-30 20:13:29 | AlertJob             | INFO     | Execution BKK Hour: 6
2026-05-30 20:13:29 | AlertJob             | INFO     | Running Holistic Briefing for HÔM NAY...
2026-05-30 20:13:30 | TelegramAlerter      | INFO     | Telegram alert sent successfully.
2026-05-30 20:13:30 | BasePostgresLoader   | INFO     | PostgreSQL connection closed.
2026-05-30 20:13:30 | AlertJob             | INFO     | Alert Job finished.
2026-05-30 20:16:22 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 20:16:22 | AlertJob             | INFO     | Starting Weather Alert Job (Dual-Core Architecture)...
2026-05-30 20:16:22 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 20:16:22 | BasePostgresLoader   | INFO     | Connection successful!
2026-05-30 20:16:22 | AlertJob             | INFO     | Execution BKK Hour: 20
2026-05-30 20:16:22 | AlertJob             | INFO     | Running Holistic Briefing for NGÀY MAI...
2026-05-30 20:16:23 | TelegramAlerter      | INFO     | Telegram alert sent successfully.
2026-05-30 20:16:23 | BasePostgresLoader   | INFO     | PostgreSQL connection closed.
2026-05-30 20:16:23 | AlertJob             | INFO     | Alert Job finished.
2026-05-30 20:18:58 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 20:50:15 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 20:50:48 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 20:50:48 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 20:50:48 | BasePostgresLoader   | INFO     | Connection successful!
2026-05-30 20:51:11 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 20:51:11 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 20:51:11 | BasePostgresLoader   | INFO     | Connection successful!

2026-05-30 21:52:38 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 21:52:38 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 21:52:38 | BasePostgresLoader   | INFO     | Connection successful!
2026-05-30 21:56:03 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 21:56:03 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 21:56:03 | BasePostgresLoader   | INFO     | Connection successful!
2026-05-30 21:56:13 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 21:56:13 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 21:56:13 | BasePostgresLoader   | INFO     | Connection successful!
2026-05-30 22:04:08 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 22:04:08 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 22:04:08 | BasePostgresLoader   | INFO     | Connection successful!
2026-05-30 22:15:54 | ConfigManager        | INFO     | Successfully loaded/reloaded configurations from disk.
2026-05-30 22:15:54 | BasePostgresLoader   | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-05-30 22:15:54 | BasePostgresLoader   | INFO     | Connection successful!
